State,Species,Elev,Tree,Core,TreeID,TreeName,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,E-T7,A,E-T7-A,PIPO-L-E-T7-A,,,2014,0,0,0,0,0,99,RINGWIDTH,1,NotAFile,3/16/15 17:26,                   ,,2146 11440 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1822.0000 8014.0000 1776.0000 1706.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,133.4897,0.226,0.185,0.159,0.581,0.308,0.48,0.482,0.418,0.418,0.444,0.2,0.062,0.126,0.328,0.363,0.758,0.992,1.562,0.408,1.539,0.84,1.043,1.024,0.456,0.63,0.784,1.328,1.551,1.587,1.035,1.474,2.729,1.392,0.817,1.355,1.275,0.874,0.166,0.998,1.769,1.041,0.697,0.57,0.738,0.527,1.093,1.019,0.791,1.105,1.425,0.696,0.505,0.42,0.505,0.653,0.061,1.038,1.388,0.629,0.936,0.853,0.787,1.509,0.3,0.787,1.486,1.038,1.303,0.918,1.74,1.756,2.715,2.989,1.418,1.055,1.677,2.121,2.024,1.549,1.677,1.201,1.536,2.558,1.498,3.03,2.65,2.561,2.945,3.635,2.389,3.048,2.524,3.291,3.245,4.263,3.338,2.928,3.436,1.241,,,,,,,,,,
CO,PIPO,L,E-T4,A,E-T4-A,PIPO-L-E-T4-A,,,2014,0,0,0,0,0,104,RINGWIDTH,1,NotAFile,3/16/15 17:49,                   ,,1949 10180 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],356.0000 8578.0000 226.0000 1008.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,160.2153,0.113,0.035,0.072,0.19,0.055,0.411,0.339,0.379,0.064,1.078,0.443,0.443,0.422,0.295,0.381,0.338,0.972,1.1,0.698,0.508,0.571,0.804,0.783,0.529,0.677,0.317,0.592,0.148,0.762,0.212,0.782,0.381,0.211,0.253,0.718,0.692,1.242,1.035,1.18,0.652,0.694,0.929,0.653,0.971,0.846,1.538,0.45,0.74,1.362,0.456,1.099,0.263,0.836,0.992,1.532,0.649,1.835,1.439,1.764,1.6,1.9,1.1,1.438,1.662,1.425,1.037,1.227,0.423,0.614,1.776,0.803,2.324,2.217,2.213,2.761,2.333,1.394,2.46,1.991,2.309,3.132,2.766,3.573,2.391,2.433,3.978,4.359,4.21,3.955,3.534,5.31,3.942,4.604,5.283,4.708,5.016,4.018,2.351,3.479,1.609,2.999,1.829,2.349,0.744,,,,,
CO,PIPO,L,E-T4,B,E-T4-B,PIPO-L-E-T4-B,,,2014,0,0,0,0,0,104,RINGWIDTH,1,NotAFile,3/16/15 17:49,                   ,,1949 10180 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1743.3333 8217.0000 1640.6667 226.6667  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,169.1006,0.084,0.118,0.272,0.273,0.252,0.416,0.125,0.992,0.346,0.458,0.459,0.25,0.437,0.477,0.767,1.181,0.722,0.574,0.556,0.591,0.79,0.578,0.352,0.208,0.375,0.598,0.187,0.979,0.271,0.77,0.438,0.334,0.314,0.939,0.833,0.999,1.264,0.952,0.65,0.713,0.96,0.909,0.736,0.676,1.413,0.333,0.664,0.952,0.505,0.84,0.252,0.694,1.012,1.584,0.677,2.01,1.586,2.44,1.972,2.176,1.649,1.734,1.84,1.798,1.436,1.31,0.338,0.801,1.982,0.931,0.127,2.391,2.961,2.344,2.408,2.577,1.412,2.608,3.113,2.798,3.774,3.886,4.753,3.449,3.766,4.444,4.803,5.26,4.273,4.018,5.669,4.186,4.38,4.4,4.401,3.427,3.299,2.281,3.696,1.542,2.811,2.019,2.156,0.298,,,,,
CO,PIPO,L,C-T4,A,C-T4-A,PIPO-L-C-T4-A,,,2014,0,0,0,0,0,73,RINGWIDTH,1,PIPO-L-C-T4_both.tif,4/15/15 14:48,                   ,,1969 8802 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],333.0000 6744.0000 300.0000 231.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,137.826,1.134,1.364,1.178,1.852,1.837,1.325,1.46,1.382,1.325,1.644,1.008,0.769,0.021,1.374,1.221,2.363,1.996,3.35,1.455,2.789,1.757,1.735,2.726,2.243,1.27,1.735,1.925,2.074,1.931,1.374,2.067,2.641,2.11,1.469,1.587,2.262,1.587,0.526,1.784,2.065,1.481,1.607,1.396,2.009,1.946,3.111,3.406,3.068,2.857,3.953,2.386,1.608,1.5,1.308,1.841,0.614,2.041,2.412,1.499,3.09,1.928,2.824,2.315,1.214,1.227,2.255,1.312,2.36,1.817,1.816,1.426,2.308,0.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,C-T4,B,C-T4-B,PIPO-L-C-T4-B,,,2014,0,0,0,0,0,66,RINGWIDTH,1,PIPO-L-C-T4_both.tif,4/15/15 14:48,                   ,,1969 8802 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1732.5000 7150.0000 1683.5000 483.5000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,140.2721,0.908,1.244,1.098,1.692,1.333,1.227,1.037,1.162,1.239,1.749,0.863,0.654,0.105,0.826,1.126,2.061,1.818,3.046,1.15,2.476,0.925,1.662,2.562,2.057,1.01,1.656,2.187,1.533,2.33,1.406,2.031,3.088,2.418,1.645,1.67,2.328,1.651,0.816,1.936,1.764,1.486,1.278,1.394,2.528,2.182,2.958,3.716,2.962,3.293,4.169,2.334,2.171,1.72,1.4,1.619,0.971,2.072,3.063,1.467,4.062,2.682,3.77,3.07,1.744,1.514,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,D-T5,A,D-T5-A,PIPO-L-D-T5-A,,,2014,0,0,0,0,0,97,RINGWIDTH,1,PIPO-L-D-T5_both.tif,4/15/15 15:08,                   ,,1870 7758 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],228.0000 7542.0000 162.0000 633.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,146.0733,0.525,0.719,0.184,0.387,0.804,1.058,0.91,1.438,0.742,0.799,0.846,0.202,0.026,0.563,0.942,1.437,1.43,2.496,0.49,2.322,1.445,1.753,1.88,1.394,1.627,1.628,2.116,2.052,2.495,1.353,1.417,2.497,2.326,1.438,1.269,1.608,1.608,0.444,0.973,1.988,1.12,1.375,0.486,0.782,0.971,1.499,1.856,1.88,1.565,1.967,1.1,0.486,0.655,0.655,0.93,0.169,1.248,1.353,0.908,1.288,0.95,1.1,1.078,0.296,0.55,1.286,0.759,1.075,1.014,1.205,1.607,2.009,2.208,2.064,1.455,1.143,2.581,2.222,1.662,1.62,0.905,1.22,2.251,1.332,2.724,2.981,2.615,2.472,3.029,2.074,2.517,3.83,3.018,3.582,3.396,3.094,1.461,,,,,,,,,,,,
CO,PIPO,L,D-T5,B,D-T5-B,PIPO-L-D-T5-B,,,2014,0,0,0,0,0,97,RINGWIDTH,1,PIPO-L-D-T5_both.tif,4/15/15 15:08,                   ,,1870 7758 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1754.0000 5945.5000 1607.5000 294.5000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,119.2035,0.295,0.394,0.04,0.358,0.61,0.611,0.664,0.855,0.473,0.408,0.414,0.095,0.029,0.058,0.375,0.656,0.719,1.65,0.296,1.348,0.972,1.226,0.676,0.951,1.079,0.698,1.311,1.395,1.289,0.719,0.952,1.706,1.344,1.113,1.134,1.239,1.095,0.274,0.739,1.296,0.861,1.142,0.381,0.677,0.698,1.417,1.627,1.119,1.014,1.344,0.712,0.275,0.507,0.485,0.736,0.091,1.139,1.466,0.819,0.946,0.526,0.927,0.994,0.284,0.477,1.248,0.633,0.698,0.691,1.065,1.185,1.629,1.819,2.369,1.333,1.205,1.818,2.37,1.714,1.375,1.269,1.46,2.75,1.354,2.954,3.313,2.136,2.127,2.678,1.858,1.972,3.538,3.354,4.116,3.364,2.872,3.284,,,,,,,,,,,,
CO,PIPO,L,D-T8,A,D-T8-A,PIPO-L-D-T8-A,,,2014,0,0,0,0,0,97,RINGWIDTH,1,PIPO-L-D-T8_both.tif,4/15/15 15:25,                   ,,1870 7758 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],252.0000 6309.0000 204.0000 537.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,122.1478,0.108,0.054,0.081,0.105,0.087,0.105,0.372,0.27,0.414,0.415,0.35,0.193,0.372,0.126,0.382,0.717,0.757,1.43,0.437,1.306,0.951,1.228,1.692,1.212,1.118,1.144,1.508,1.318,1.221,1.092,1.199,1.409,1.051,0.908,1.539,1.123,0.912,0.097,0.509,1.142,0.478,0.758,0.329,0.492,0.494,1.331,1.346,1.017,1.061,1.242,0.538,0.19,0.476,0.566,0.853,0.084,1.239,1.958,0.778,1.093,0.84,1.048,1.3,0.375,0.715,1.342,0.671,0.859,0.565,1.191,1.297,2.248,2.02,2.277,2.08,1.502,2.134,2.193,1.174,1.215,0.879,1.274,2.108,1.261,2.524,2.707,2.558,2.229,2.381,1.926,2.142,3.125,2.984,3.787,3.669,5.781,1.754,,,,,,,,,,,,
CO,PIPO,L,D-T8,B,D-T8-B,PIPO-L-D-T8-B,,,2014,0,0,0,0,0,99,RINGWIDTH,1,PIPO-L-D-T8_both.tif,4/15/15 15:25,                   ,,1870 7758 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1686.0000 7404.0000 1628.0000 722.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,140.7605,0.103,0.16,0.106,0.085,0.084,0.358,0.381,0.486,0.485,0.443,0.38,0.485,0.129,0.463,0.446,0.504,1.036,2.326,0.677,2.094,1.35,1.247,1.502,1.27,1.079,0.994,1.438,1.183,1.349,0.89,1.01,1.689,1.139,0.929,1.521,1.393,1.123,0.103,0.803,1.352,0.698,0.868,0.433,0.538,0.444,1.288,1.312,0.973,1.056,1.291,0.504,0.147,0.484,0.675,0.738,0.106,1.289,1.773,1.16,1.437,0.908,0.991,1.553,0.563,0.786,1.94,0.823,1.606,1.248,1.742,1.683,2.727,2.327,2.593,2.572,1.769,2.502,2.213,1.584,1.42,1.337,1.349,2.714,1.472,2.899,3.183,2.861,3.179,2.615,2.439,2.261,3.003,2.982,3.645,3.726,4.137,3.523,4.166,1.217,,,,,,,,,,
CO,PIPO,L,E-T4,A1,E-T4-A1,PIPO-L-E-T4-A,,,2014,0,0,0,0,0,102,RINGWIDTH,1,PIPO-L-E-T4_both.tif,4/15/15 15:59,                   ,,1949 10180 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],356.0000 8578.0000 226.0000 1008.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,160.2153,0.113,0.035,0.072,0.19,0.055,0.411,0.339,0.379,0.064,1.078,0.443,0.443,0.422,0.295,0.381,0.338,0.972,1.1,0.698,0.508,0.571,0.804,0.783,0.529,0.677,0.317,0.592,0.888,1.016,0.381,0.211,0.253,0.718,0.692,1.242,1.035,1.18,0.652,0.694,0.929,0.653,0.971,0.846,1.538,0.42,0.77,1.362,0.416,1.139,0.256,0.837,0.992,1.532,0.649,1.835,1.439,1.764,1.6,1.9,1.1,1.438,1.662,1.425,1.037,1.227,0.423,0.614,1.776,0.803,2.324,2.217,2.213,2.761,2.333,1.394,2.46,1.991,2.309,3.132,2.766,3.573,2.391,2.433,3.978,4.359,4.21,3.955,3.534,5.31,3.942,4.604,5.283,4.708,5.016,4.018,2.351,3.479,1.609,2.999,1.829,2.349,0.744,,,,,,,
CO,PIPO,L,E-T4,B1,E-T4-B1,PIPO-L-E-T4-B,,,2014,0,0,0,0,0,99,RINGWIDTH,1,PIPO-L-E-T4_both.tif,4/15/15 15:59,                   ,,1949 10180 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1743.3333 8217.0000 1640.6667 226.6667  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,169.1006,0.095,0.14,0.272,0.273,0.252,0.416,0.101,1.006,0.346,0.458,0.459,0.25,0.437,0.477,0.767,1.181,0.722,0.574,0.556,0.591,0.79,0.578,0.56,0.375,0.598,1.161,1.041,0.438,0.334,0.314,0.939,0.833,0.999,1.264,0.952,0.65,0.713,0.96,0.909,0.736,0.676,1.413,0.322,0.675,0.952,0.462,0.879,0.944,1.012,1.584,0.677,2.01,1.586,2.44,1.972,2.176,1.649,1.734,1.84,1.798,1.436,1.289,0.381,0.779,1.982,1.057,2.391,2.961,2.344,2.408,2.577,1.412,2.608,3.113,2.798,3.774,3.886,4.753,3.449,3.766,4.444,4.803,5.26,4.273,4.018,5.669,4.186,4.38,4.4,4.401,3.427,3.299,2.281,3.696,1.542,2.811,2.019,2.156,0.298,,,,,,,,,,
