State,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,A-T1,b,A-T1-b,POTR-H-A-T1-b,,,2014,0,0,0,0,0,105,RINGWIDTH,1,POTR-H-A-T01-BOTH.tif,5/15/15 18:48,                   ,,2966 11105 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],2578.0000 9552.0000 2371.0000 584.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,142.3693,0.395,0.635,0.698,0.92,0.936,1.034,0.516,0.495,0.503,0.762,0.506,0.694,0.556,0.716,0.759,0.601,0.73,0.635,0.841,0.96,0.729,0.57,0.92,0.699,0.84,0.651,0.777,1.016,0.746,0.902,1.257,1.311,0.94,0.757,1.119,1.008,0.825,0.884,1.192,0.957,1.063,1.396,1.187,0.967,1.022,1.25,1.157,1.473,1.328,1.632,1.962,1.488,0.456,0.836,1.172,1.54,1.443,0.697,1.152,0.865,0.969,1.085,1.706,1.272,0.631,0.617,1.342,1.197,0.962,1.042,0.675,0.866,0.707,0.768,1.449,1.271,1.407,1.927,1.535,2.063,1.495,2.24,1.412,1.455,1.724,1.728,1.868,2.283,1.988,1.684,1.929,1.755,1.987,2.363,2.772,2.08,2.154,2.375,1.559,1.799,2.289,1.893,2.513,2.628,0.548,,,,,,,,,,,,,,,,
CO,POTR,H,A-T3,a,A-T3-a,POTR-H-A-T3-a,,,2014,0,0,0,0,0,95,RINGWIDTH,1,POTR-H-A-T03-BOTH.tif,5/15/15 18:55,                   ,,2067 8979 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],392.0000 8319.0000 266.0000 490.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,165.694,0.734,1.459,1.532,1.287,0.861,0.761,0.585,0.736,1.012,1.121,0.919,0.757,0.834,1.598,1.099,0.822,1.181,0.8,0.972,1.414,1.873,1.71,1.413,1.434,1.326,1.264,0.819,1.164,0.547,0.799,1.1,1.582,0.947,0.947,1.383,1.355,1.305,1.182,1.069,1.234,1.957,1.624,0.6,0.768,1.315,1.37,1.49,1.83,2.006,1.744,1.342,1.043,0.556,1.295,1.387,1.223,0.947,1.523,1.156,1.175,2.288,1.725,0.941,1.079,0.597,0.752,2.031,1.938,1.171,1.069,0.93,0.721,0.525,0.666,1.428,1.431,1.02,1.661,2.27,2.392,0.954,2.082,2.316,2.176,2.153,2.481,1.889,2.285,2.531,2.124,2.931,2.845,1.851,2.234,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,A-T3,b,A-T3-b,POTR-H-A-T3-b,,,2014,0,0,0,0,0,97,RINGWIDTH,1,POTR-H-A-T03-BOTH.tif,5/15/15 18:55,                   ,,2067 8979 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1815.0000 7357.0000 1599.0000 952.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,135.6154,0.865,0.93,0.653,0.799,0.594,0.549,0.657,0.958,1.142,1.165,0.778,0.565,0.526,0.754,0.853,0.723,1.035,1.107,1.076,1.522,1.854,1.416,1.439,1.732,1.42,0.845,0.423,0.806,0.645,1.121,1.433,1.07,0.858,0.506,1.447,1.213,1.197,0.713,1.16,1.599,1.431,1.242,0.557,0.685,0.732,0.973,1.17,1.92,2.385,1.023,1.02,1.128,0.245,1.407,0.373,0.478,0.81,0.768,0.746,0.697,0.944,1.242,0.652,0.603,0.348,0.284,0.712,1.062,1.134,0.815,0.502,0.434,0.553,1.132,1.915,1.618,1.987,1.426,1.66,2.538,2.064,2.156,1.886,1.691,2.174,2.897,3.074,2.536,3.147,2.825,3.351,3.352,2.128,3.24,2.844,2.304,3.108,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,B-T3,a,B-T3-a,POTR-H-B-T3-a,,,2014,0,0,0,0,0,105,RINGWIDTH,1,POTR-H-B-T03-BOTH.tif,5/15/15 23:01,                   ,,2861 16803 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],508.0000 12409.0000 331.0000 1178.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,178.2698,0.258,1.059,0.936,1.075,1.129,1.01,0.982,1.237,1.294,1.428,0.824,1.317,1.063,0.937,0.956,0.837,1.174,0.794,0.555,0.635,1.175,0.81,0.746,0.953,1.031,1.061,0.856,0.856,0.822,1.205,1.319,1.186,1.238,1.52,1.332,1.57,1.187,1.078,1.426,1.504,1.692,1.586,1.203,1.409,1.52,1.951,1.6,1.504,1.697,1.572,1.981,2.029,1.903,1.984,1.554,1.57,1.9,1.843,1.426,2.238,2.221,1.633,1.551,1.956,1.526,1.475,1.775,1.511,1.221,0.807,0.366,1.428,1.438,1.666,1.933,2.01,2.526,2.796,2.263,2.339,2.005,2.346,1.662,2.804,2.834,2.462,2.441,2.796,3.276,2.662,2.679,2.496,2.471,2.504,2.472,3.067,2.914,2.361,2.717,2.079,2.714,1.588,1.772,2.823,3.275,,,,,,,,,,,,,,,,
CO,POTR,H,B-T3,b,B-T3-b,POTR-H-B-T3-b,,,2014,0,0,0,0,0,105,RINGWIDTH,1,POTR-H-B-T03-BOTH.tif,5/15/15 23:01,                   ,,2861 16803 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],2495.0000 12693.0000 2432.0000 799.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,188.773,0.235,1.024,1.004,1.074,1.454,1.189,1.156,1.421,1.795,1.767,1.231,0.858,1.032,1.106,0.905,0.681,1.013,1.094,0.619,0.617,0.967,1.331,0.968,1.171,1.173,1,0.887,0.698,0.981,1.091,1.39,1.519,1.345,1.515,1.456,1.499,1.313,1.293,1.386,1.341,1.773,1.738,1.313,1.407,2.025,1.074,1.637,2.023,1.92,2.252,2.764,2.187,2.118,2.398,1.398,1.594,1.642,1.829,1.564,2.095,2.264,1.871,1.509,1.987,1.779,1.126,1.76,1.415,1.163,0.581,0.422,1.234,1.557,1.725,2.055,1.863,2.466,2.664,2.485,2.096,2.372,1.889,1.71,2.824,2.507,2.408,2.36,2.933,2.861,3.013,2.776,2.333,2.556,2.654,2.717,3.384,2.717,2.477,2.543,2.521,2.655,1.613,1.988,4.041,1.737,,,,,,,,,,,,,,,,
CO,POTR,H,B-T5,a,B-T5-a,POTR-H-B-T5-a,,,2014,0,0,0,0,0,84,RINGWIDTH,1,POTR-H-B-T05-BOTH.tif,5/15/15 23:19,                   ,,4135 9806 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],545.0000 9392.0000 450.0000 5236.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,43.9848,0.17,0.702,0.516,0.563,0.651,0.537,0.529,0.603,0.694,0.677,0.423,0.525,0.381,0.592,0.592,0.444,0.599,0.623,0.526,0.452,0.65,0.686,0.505,0.586,0.588,0.437,0.367,0.366,0.432,0.542,0.718,0.509,0.494,0.702,0.677,0.634,0.654,0.506,0.695,0.703,0.861,0.673,0.515,0.529,0.419,0.495,0.423,0.443,0.213,0.364,0.482,0.322,0.367,0.385,0.322,0.537,0.559,0.52,0.424,0.376,0.446,0.501,0.455,0.595,0.364,0.46,0.464,0.332,0.419,0.323,0.388,0.417,0.321,0.452,0.38,0.469,0.59,0.455,0.589,0.788,0.464,0.508,0.323,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,B-T5,b,B-T5-b,POTR-H-B-T5-b,,,2014,0,0,0,0,0,56,RINGWIDTH,1,POTR-H-B-T05-BOTH.tif,5/15/15 23:19,                   ,,4135 9806 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],3494.0000 7007.0000 3646.0000 228.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,71.7445,0.328,0.785,0.6,0.838,0.867,0.875,1.325,1.386,1.391,1.394,0.881,1.04,1.033,1.201,1.249,0.834,1.344,1.339,1.186,0.683,1.157,1.504,0.908,0.912,0.99,0.876,0.99,0.711,0.82,1.257,1.356,1.753,1.195,1.212,1.256,1.34,1.009,1.078,1.312,1.372,1.392,0.913,1.161,1.425,1.844,2.362,1.739,1.502,2.167,1.351,2.222,2.229,0.811,1.492,0.388,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,C-T5,a,C-T5-a,POTR-H-C-T5-a,,,2014,0,0,0,0,0,75,RINGWIDTH,1,POTR-H-C-T05-BOTH.tif,5/15/15 23:28,                   ,,2264 10003 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],329.0000 9219.0000 309.0000 601.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,182.3695,0.378,1.037,1.083,1.171,1.036,1.205,1.921,1.84,2.412,2.493,1.798,1.755,1.29,1.778,1.692,1.331,1.2,1.664,1.798,1.774,1.566,2.194,2.306,2.494,1.839,1.247,1.264,1.6,1.885,2.482,2.803,2.53,2.589,2.075,2.304,2.548,2.608,2.567,2.749,2.025,1.563,2.395,2.595,2.499,2.052,2.887,3.146,4.065,3.849,3.422,4.194,3.396,1.996,3.12,3.832,3.193,3.121,2.098,2.151,2.16,2.549,3.021,2.289,2.306,1.992,2.031,2.621,1.798,1.208,1.761,0.763,0.874,2.881,2.517,4.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,C-T5,b,C-T5-b,POTR-H-C-T5-b,,,2014,0,0,0,0,0,83,RINGWIDTH,1,POTR-H-C-T05-BOTH.tif,5/15/15 23:28,                   ,,2264 10003 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1806.0000 8201.0000 1770.0000 1253.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,147.0314,0.465,0.975,0.842,0.866,0.655,0.552,1.362,1.122,2.254,1.616,0.984,0.868,0.719,0.721,1.078,0.571,1.1,1.247,0.996,0.972,0.868,0.823,0.909,0.91,1.355,0.696,0.803,1.459,1.119,1.989,2.052,2.093,1.608,0.995,1.143,1.313,1.501,1.586,2.094,1.904,0.908,2.286,1.629,2.03,1.729,1.575,1.925,2.263,2.408,2.636,2.891,2.137,2.04,3.067,1.665,1.67,2.678,2.112,2.328,1.942,2.313,2.003,2.328,2.024,2.556,2.207,2.73,2.069,2.018,2.191,1.618,1.096,1.607,2.178,2.542,2.666,4.004,3.236,2.921,2.356,1.713,3.181,3.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,C-T13,a,C-T13-a,POTR-H-C-T13-a,,,2014,0,0,0,0,0,80,RINGWIDTH,1,POTR-H-C-T13-BOTH.tif,5/15/15 23:40,                   ,,2047 9077 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],324.0000 8201.0000 307.0000 396.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,164.2765,0.698,1.693,1.883,1.439,1.142,0.953,1.396,1.606,2.27,1.925,1.312,1.184,1.1,1.48,1.269,1.121,1.375,1.734,1.375,1.135,0.885,1.353,1.248,1.246,1.438,1.312,1.417,1.606,1.651,1.947,1.84,1.966,1.629,1.701,1.967,1.797,1.502,1.331,1.926,1.709,1.47,1.769,2.047,2.045,2.959,2.476,2.326,2.949,2.705,2.557,2.814,2.115,2.071,2.931,2.467,2.01,2.009,2.348,2.295,2.432,2.92,2.659,2.253,2.107,1.817,1.382,2.127,2.646,1.949,1.999,0.682,1.104,1.989,3.349,2.934,2.591,4.731,3.861,4.669,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,C-T13,b,C-T13-b,POTR-H-C-T13-b,,,2014,0,0,0,0,0,82,RINGWIDTH,1,POTR-H-C-T13-BOTH.tif,5/15/15 23:40,                   ,,2047 9077 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1771.0000 7444.0000 1547.0000 529.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,146.4075,0.499,0.754,1,1.246,0.645,0.56,0.844,0.774,1.543,1.617,0.952,0.921,0.534,0.738,0.84,0.751,1.187,2.076,1.809,1.353,0.867,0.91,0.717,1.121,0.889,0.762,0.804,1.83,1.069,1.056,1.076,1.082,0.677,1.136,1.398,0.95,1.182,1.142,1.63,1.374,1.331,1.968,1.323,0.858,1.153,2.021,1.969,2.095,1.501,1.417,2.259,2.02,1.489,2.814,2.158,1.647,2.21,1.663,2.026,2.132,2.554,2.544,2.278,2.116,3.136,1.944,2.806,2.717,2.033,2.437,0.668,1.804,3.509,3.023,3.644,3.69,4.396,3.289,3.652,3.788,2.425,7.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,D-T6,a,D-T6-a,POTR-H-D-T6-a,,,2014,0,0,0,0,0,84,RINGWIDTH,1,POTR-H-D-T6-BOTH.tif,5/15/15 23:50,                   ,,2047 9944 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],319.0000 5538.0000 254.0000 1055.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,94.8765,0.285,0.782,0.993,0.802,0.202,0.368,0.38,0.719,1.163,1.225,0.635,1.142,0.719,0.762,1.219,0.401,0.579,1.542,0.952,0.825,1.438,0.783,0.677,1.016,1.179,1.13,1.628,0.613,0.778,1.305,1.748,1.375,1.481,1.267,1.159,1.248,1.307,0.866,1.373,1.774,1.73,2.177,1.12,1.197,1.289,1.309,1.436,1.563,1.714,1.876,2.324,2.01,1.481,1.777,0.761,0.569,0.887,0.74,0.55,0.357,0.785,0.952,0.825,1.079,0.76,0.615,1.14,1.312,0.972,0.462,0.15,0.824,0.907,1.095,0.717,1.235,1.191,1.623,1.341,0.551,1.873,0.871,2.811,1.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,D-T6,b,D-T6-b,POTR-H-D-T6-b,,,2014,0,0,0,0,0,78,RINGWIDTH,1,POTR-H-D-T6-BOTH.tif,5/15/15 23:50,                   ,,2047 9944 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1743.0000 5597.0000 1669.0000 324.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,111.595,0.695,1.746,1.491,1.068,0.337,0.538,0.794,0.76,1.354,1.67,1.669,1.797,1.344,1.098,1.248,1.09,1.242,1.035,1.512,0.844,1.093,1.351,1.481,1.396,1.362,1.072,1.319,1.018,0.815,1.419,1.712,1.402,1.734,1.46,1.46,1.714,1.798,1.39,1.373,1.283,1.358,1.704,1.469,1.519,1.671,2.145,1.412,1.582,1.644,1.153,1.882,2.749,1.791,1.888,0.772,0.561,0.935,1.015,1.093,0.846,0.987,0.546,1.17,1.509,1.289,0.497,0.794,1.267,1.99,0.934,0.827,0.641,1.493,1.52,0.987,1.286,2.543,2.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,D-T3,a,D-T3-a,POTR-H-D-T3-a,,,2014,0,0,0,0,0,83,RINGWIDTH,1,POTR-H-D-TX-BOTH.tif,5/16/15 0:02,                   ,,2166 9510 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],302.0000 6807.0000 312.0000 397.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,135.6448,0.865,2.005,1.396,1.205,0.614,1.431,1.35,1.627,2.082,1.934,2.093,2.262,1.227,2.113,2.571,1.173,1.227,1.903,2.177,1.797,1.828,1.702,1.796,2.067,2.242,1.438,1.86,1.445,1.026,1.439,1.967,2.285,2.047,1.477,1.372,1.268,1.269,0.973,1.481,1.756,1.439,0.931,0.698,0.614,1.142,1.754,1.265,1.142,1.545,2.093,2.534,2.129,2.177,2.24,1.015,0.741,0.825,1.16,0.889,1.036,1.756,1.417,1.585,1.46,1.269,0.931,1.606,1.839,1.735,0.19,1.057,1.627,1.288,1.333,2.463,2.032,1.707,2.073,1.045,2.435,1.816,4.449,1.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,D-T3,b,D-T3-b,POTR-H-D-T3-b,,,2014,0,0,0,0,0,86,RINGWIDTH,1,POTR-H-D-TX-BOTH.tif,5/16/15 0:02,                   ,,2166 9510 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1818.0000 6633.0000 1829.0000 691.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,125.7413,0.529,1.502,1.015,0.803,0.422,0.762,1.333,2.116,2.399,2.021,1.434,2.114,1.459,1.776,1.865,0.709,1.249,1.648,1.94,1.544,1.564,2.073,1.925,2.624,2.79,1.984,1.501,1.375,1.116,1.945,2.242,2.214,1.905,1.608,1.481,1.649,1.604,0.824,1.247,1.138,1.1,1.391,0.867,0.612,1.099,1.185,1.185,1.46,1.354,1.396,1.629,1.227,0.844,1.058,0.762,0.76,1.015,1.142,1.058,1.016,1.29,1.099,1.354,0.971,0.846,0.487,0.825,1.502,1.384,0.349,0.824,1.076,1.1,0.907,2.624,1.651,1.839,2.099,1.098,2.163,1.815,3.313,3.15,2.299,0.812,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,E-T4,a,E-T4-a,POTR-H-E-T4-a,,,2014,0,0,0,0,0,115,RINGWIDTH,1,POTR-H-E-T4-BOTH.tif,5/16/15 0:13,                   ,,2940 11053 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],509.0000 7066.0000 365.0000 524.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,102.918,0.293,0.635,1.074,1.221,0.969,0.994,0.444,1.036,1.886,1.405,0.792,0.936,0.714,1.46,0.887,1.019,1.345,0.745,0.981,0.984,1.049,1.011,1.078,1.127,1.51,1.28,1.882,1.568,0.536,0.758,1.394,0.867,1.353,1.294,1.048,1.427,1.075,1.059,1.072,1.003,0.92,0.807,0.814,0.607,0.788,0.858,0.64,0.628,0.607,0.584,0.58,0.623,0.655,0.841,0.546,0.361,0.815,0.376,0.646,0.46,0.679,0.728,0.537,0.707,0.458,0.362,0.8,0.389,0.51,0.405,0.17,0.233,0.218,0.373,0.482,0.299,0.371,0.659,0.567,0.622,0.682,0.57,0.595,1.083,0.883,0.433,0.357,0.637,0.772,0.534,0.367,0.572,0.731,0.56,0.664,0.489,0.671,1.166,0.57,0.389,0.962,0.298,0.544,0.451,0.809,1.211,0.987,1.542,1.373,1.047,0.819,1.13,1.125,1.433,1.14,,,,,,
CO,POTR,H,E-T4,b,E-T4-b,POTR-H-E-T4-b,,,2014,0,0,0,0,0,121,RINGWIDTH,1,POTR-H-E-T4-BOTH.tif,5/16/15 0:13,                   ,,2940 11053 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],2446.0000 10827.0000 2325.0000 3790.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,111.701,0.395,0.967,1.244,1.472,0.937,0.919,0.334,0.809,1.492,1.54,1.098,1.874,1.349,1.708,1.206,1.077,1.425,1.221,1.598,1.777,1.603,1.603,1.46,1.729,2.063,1.286,0.857,0.847,0.958,1.356,1.672,1.118,0.99,1.936,1.69,1.247,1.114,0.972,1.262,0.905,1.078,0.658,0.678,0.997,0.987,0.758,0.745,0.904,0.83,0.783,0.663,0.919,0.364,0.769,0.596,0.405,0.532,0.301,0.698,0.603,0.729,0.746,0.998,0.501,0.214,0.418,1.182,0.732,0.332,0.364,0.254,0.207,0.159,0.284,0.618,0.334,0.254,0.27,0.436,0.802,0.792,0.541,0.444,0.434,0.487,0.68,0.719,0.629,0.556,0.746,0.341,0.326,0.427,0.54,1.365,1.214,0.569,0.67,0.759,0.917,0.777,0.326,0.404,0.604,0.873,1.206,0.889,0.872,1.238,1.221,1.175,1.126,0.793,1.063,0.887,1.421,1.744,1.514,1.993,1.936,0.667
